http://www.nfl.com/videos/affl/0ap3000000939129/Former-Navy-quarterback-Ricky-Dobbs-goes-OFF-with-four-TDs,,2018-07-06 11:06:42.640032
http://www.nfl.com/videos/affl/0ap3000000939156/To-the-house-Christopher-Linares-returns-INT-100-yards-for-the-score,,2018-07-06 11:06:42.651037
http://www.nfl.com/labs/rr/affl/affl,More AFFL,2018-07-06 11:06:42.663031
http://www.nfl.com/news/story/0ap3000000939170/article/kam-chancellor-believes-hes-played-his-last-game,,2018-07-06 11:06:42.678037
http://www.nfl.com/videos/nfl-game-highlights/0ap3000000939379/Best-plays-of-Kam-Chancellor-s-career,,2018-07-06 11:06:42.691034
http://www.nfl.com/videos/all-time-greats/0ap3000000923893/The-Legion-of-Boom-s-best-highlights-NFL-Legends,,2018-07-06 11:06:42.705036
http://www.nfl.com/videos/nfl-network-total-access/0ap3000000939337/Wyche-Hawks-have-been-planning-for-potential-Chancellor-retirement-for-a-while,,2018-07-06 11:06:42.714031
/videos/history,MORE NFL HISTORY,2018-07-06 11:06:42.724032
https://www.nfl.com/videos/nfl-network-shows,Top 100,2018-07-06 11:06:42.733031
http://www.nfl.com/news/story/0ap3000000938387/article/teambyteam-breakdown-of-top-100-players-of-2018,,2018-07-06 11:06:42.744033
http://www.nfl.com/videos/nfl-top100-2018/0ap3000000938479/Who-got-snubbed-from-this-year-s-Top-100,,2018-07-06 11:06:42.756030
http://www.nfl.com/videos/nfl-top100-2018/0ap3000000938473/Ramsey-I-m-not-sure-Wentz-is-worthy-of-top-three-selection-in-Top-100,,2018-07-06 11:06:42.767031
http://www.nfl.com/news/story/0ap3000000938153/article/top-100-players-of-2018-five-things-the-players-got-wrong,,2018-07-06 11:06:42.778030
https://www.nfl.com/videos/nfl-network-shows,Top 100,2018-07-06 11:06:42.789031
http://www.nfl.com/photoessays/0ap3000000939535/2018-college-football-season-top-10-defensive-backs-to-watch,,2018-07-06 11:06:42.797032
http://www.nfl.com/news/story/0ap3000000938205/article/18-for-18-college-football-games-with-most-nfl-talent,,2018-07-06 11:06:42.809033
http://www.nfl.com/photoessays/0ap3000000939305/2018-college-football-season-top-10-wide-receivers-to-watch,,2018-07-06 11:06:42.818036
